网游名称,画面,画风,开发商,运营商,题材,模式,收费,评论,类型,开发时间,背景
武神,3D,,武神世纪,武神世纪(大陆),武侠,,道具收费,601,大型角色扮演,"游戏于2009年08月入库，
                  共6次测试","《武神》是由武神世纪自主研发的历史类题材的3DMMORPG网游。《武神》的世界背景设定在中国历史上的隋末唐初大变局时代，中国人耳熟能详的隋唐英雄的故事被原汁原味地还原到数字技术构建的虚拟世界中，玩家将扮演多达五个职业的民间奇能异士，在乱世中求生存，积蓄力...          
        <div>
          《武神》是由武神世纪自主研发的历史类题材的3DMMORPG网游。《武神》的世界背景设定在中国历史上的隋末唐初大变局时代，中国人耳熟能详的隋唐英雄的故事被原汁原味地还原到数字技术构建的虚拟世界中，玩家将扮演多达五个职业的民间奇能异士，在乱世中求生存，积蓄力量，合纵连横，争夺天下。        </div>
      
      [查看详细]"
Wander,3D,半写实,Loki Davison,Loki Davison(澳大利亚),奇幻,即时,未确定,11,大型角色扮演,,《Wander》是一款由国外Loki Davison独立游戏工作室打造的题材非常新颖的网游，于去年北美PAX Prime 2013游戏展公布。游戏主打两大元素：跨平台游戏和无战斗游戏系统。
合金弹头OL,2.5D,Q版,Dragonfly,,奇幻,即时,道具收费,123,第三人称射击,,"　　《合金弹头OL》在维持其原作游戏类型的前提下加强社区功能，强化了手感和真实感。使用全3D画面的《合金弹头OL》以现有系列3-5年之后的近、未来为背景，每个房间最多可以容纳四人同时游戏。游戏中不仅有《合金弹头》系列中登场的8款角色，还计划添加新角色。游戏...          
        <div>
          　　《合金弹头OL》在维持其原作游戏类型的前提下加强社区功能，强化了手感和真实感。使用全3D画面的《合金弹头OL》以现有系列3-5年之后的近、未来为背景，每个房间最多可以容纳四人同时游戏。游戏中不仅有《合金弹头》系列中登场的8款角色，还计划添加新角色。游戏存在卡片系统，玩家可以收集以卡片形式登场的所有物品（角色、武器、子弹）。        </div>
      
      [查看详细]"
热斗传说,3D,Q版,Cyberstep,盛大游戏(大陆),奇幻,即时,道具收费,87,动作角色扮演,"游戏于2010年07月入库，
                  共3次测试",《热斗传说》是一款全新概念的格斗类休闲网游，游戏中身为正义战士的玩家将作为地球防卫队的一员，为对抗宇宙中的邪恶势力而战斗。游戏以乱斗对战为主要游戏内容，其最大乐趣在于，玩家可随时更改自己的装备及道具搭配组合，在短时间内体验到各种不同的乐趣。
龙族,2D,半写实,eSofnet,,奇幻,即时,道具收费,71,大型角色扮演,,2001年由韩国eSofNet公司与三星电子共同开发推出 MMORPG 网络游戏《龙族》，游戏是以韩国作家李荣道所撰写的畅销科奇幻小说为背景开发的。该小说在当地拥有热卖200万册的惊人纪录，最初是于1997年10月起在网络上发表，受到广大读者的喜爱而集结出版，成为韩国畅销小说。
龙门飞甲,3D,写实,盛大游戏,盛大游戏(大陆),武侠,即时,道具收费,123,大型角色扮演,,《龙门飞甲OL》是盛大旗下华影盛视投资，著名导演徐克执导，李连杰、周迅等主演的首部国产3D武侠电影《龙门飞甲》的同名网游。据悉，游戏将采用全3D视角，电影将得到忠实的还原。
霹雳神州OL,3D,半写实,智冠电子,智冠电子(大陆),奇幻,即时,未确定,29,大型角色扮演,,"《霹雳神州online》是智冠科技与大霹雳国际跨集团合作，使用自主开发游戏引擎，采用“霹雳神州三部曲”剧集为游戏世界观开发的游戏。研发团队运用全新3D技术，打造空前绝后的奇幻霹雳场景。游戏中玩家除了可看到经典木偶戏英雄素还真、一页书等人栩栩如生...          
        <div>
          《霹雳神州online》是智冠科技与大霹雳国际跨集团合作，使用自主开发游戏引擎，采用&ldquo;霹雳神州三部曲&rdquo;剧集为游戏世界观开发的游戏。研发团队运用全新3D技术，打造空前绝后的奇幻霹雳场景。游戏中玩家除了可看到经典木偶戏英雄素还真、一页书等人栩栩如生地唱诗号、施展武功绝学外，也可畅玩霹雳风格十足的系统功能，体验原汁原味的霹雳世界。        </div>
      
      [查看详细]"
剑侠贰外传,2D,半写实,金山软件,金山软件(大陆),武侠,即时,道具收费,112,大型角色扮演,"游戏于2009年08月入库，
                  共1次测试","官方介绍： 《剑侠贰外传》是金山西山居工作室2009年最新武侠网游、《剑网2》的姊妹篇，作为国产武侠游戏金字招牌“剑侠”系列的续作，《剑侠贰外传》仍然延续了传统的中国风以及纯正的武侠文化，给玩家最真实、最原汁原味的武侠游戏视觉、感官体验。 在特...          
        <div>
          官方介绍： 《剑侠贰外传》是金山西山居工作室2009年最新武侠网游、《剑网2》的姊妹篇，作为国产武侠游戏金字招牌&ldquo;剑侠&rdquo;系列的续作，《剑侠贰外传》仍然延续了传统的中国风以及纯正的武侠文化，给玩家最真实、最原汁原味的武侠游戏视觉、感官体验。 在特定的经济环境中，《剑侠贰外传》在运营机制、经济政策上进行积极的创新，首创免费游戏，套餐包月的平价经济体系。被誉为&ldquo;经济危机首款平价网游&rdquo;。        </div>
      
      [查看详细]"
剑啸九州,3D,半写实,目标在线,久游(大陆),玄幻,即时,道具收费,856,大型角色扮演,"游戏于2011年07月入库，
                  共5次测试",《剑啸九州》是一款3D玄幻武侠网游，同时也是全球首款能够在2D、2.5D、3D三个界面中自由切换的全民畅玩网游。游戏以轻松3D、炫酷战斗为前提，独创了三段式技能特效、一键式新手引导、史诗性副本设计、全领域宝盒系统等四大独特玩法。
勇士OL,3D,写实,久游,久游(大陆),奇幻,即时,道具收费,258,动作角色扮演,"游戏于2009年04月入库，
                  共6次测试","《勇士Online》是久游网2009年推出的横版3D写实动作格斗网游，游戏以欧美中世纪奇幻风格为故事背景，拥有比较简练的操作，绚丽的动作效果。游戏的人物和场景为3D写实风格画面，画面真实而细腻。界面采用了前卫的vista风格，美术成功的将欧洲中世纪的风格与现代风格结...          
        <div>
          《勇士Online》是久游网2009年推出的横版3D写实动作格斗网游，游戏以欧美中世纪奇幻风格为故事背景，拥有比较简练的操作，绚丽的动作效果。游戏的人物和场景为3D写实风格画面，画面真实而细腻。界面采用了前卫的vista风格，美术成功的将欧洲中世纪的风格与现代风格结合，形成了时尚而不乏文化内涵的界面，让您在日常的游戏中感受到两个时代文化碰撞所产生的火花。        </div>
      
      [查看详细]"
泡泡战士,3D,Q版,NEXON,盛大游戏(大陆),奇幻,即时,道具收费,1393,第三人称射击,"游戏于2010年01月入库，
                  共5次测试","泡泡战士是由NEXON旗下顶级工作室Lodumani开发、盛大游戏代理的一款第3人称射击网络游戏。泡泡堂和跑跑卡丁车的角色这次开始了水枪大战。和现有射击游戏那样，只要用水枪打倒对方就可以。本作中，一改之前竞速类网游的特点，虽然角色相同，但游戏方式却从竞速变成了...          
        <div>
          泡泡战士是由NEXON旗下顶级工作室Lodumani开发、盛大游戏代理的一款第3人称射击网络游戏。泡泡堂和跑跑卡丁车的角色这次开始了水枪大战。和现有射击游戏那样，只要用水枪打倒对方就可以。本作中，一改之前竞速类网游的特点，虽然角色相同，但游戏方式却从竞速变成了对战。玩家将控制熟悉的角色，手握各种不同样式、威力各异的可爱水枪进行对战，当然，除了互相对战，玩家还可以用角色作出包括翻跟头，攀墙头等各种动作，甚至是跳舞。        </div>
      
      [查看详细]"
本影,3D,写实,SolarFall,,奇幻,即时,未确定,2,动作角色扮演,,"《本影》展示了两种基本的游戏玩法机制：其一为能力互斥，即当你的角色因为某些操作提升能力值时，将会降低与所提升能力相斥的能力值。例如近战攻击会使你的怒气上升，但耐力值和法力值会下降，反之亦然。该系统意图在给玩家提供自由发展的游戏环境同时保持人物属性...          
        <div>
          《本影》展示了两种基本的游戏玩法机制：其一为能力互斥，即当你的角色因为某些操作提升能力值时，将会降低与所提升能力相斥的能力值。例如近战攻击会使你的怒气上升，但耐力值和法力值会下降，反之亦然。该系统意图在给玩家提供自由发展的游戏环境同时保持人物属性的平衡；其二为元素组合系统，水、火、土、雷可以相互结合在战斗中使用，颇似《神界：原罪》。        </div>
      
      [查看详细]"
传奇霸主,2D,半写实,酷玩网络,阳光游戏(大陆),武侠,即时,道具收费,594,大型角色扮演,"游戏于2013年06月入库，
                  共4次测试",《传奇霸主》是广州派游研发的一款2D网游，由阳光游戏进行代理运营。《传奇霸主》是以热血大陆后期的战乱为背景，真正从画质和玩法全面进行提升的一款游戏，是真正意义上的传奇续写！
QQ幻想,2D,写实,腾讯,腾讯(大陆),奇幻,即时,道具收费,21,大型角色扮演,"游戏于2005年06月入库，
                  共3次测试",《QQ幻想》是2005年度推出的一款大型多人在线2D网络游戏MMORPG。
龙之幻想,2D,Q版,深圳盛游,珠海成长(大陆),奇幻,即时,道具收费,905,大型角色扮演,"游戏于2012年08月入库，
                  共6次测试",《龙之幻想》是珠海成长科技运营的一款Q版奇幻网游。游戏以架空的东西方交融文化，创建了奇幻世界背景，在虚拟大陆上的八大流派弟子，在对抗魔族的旅途中上演一幕幕荡气回肠的上古传说。
鬼斩,3D,半Q版,Cyberstep,Cyberstep(日本),奇幻,即时,未确定,126,大型角色扮演,,"《鬼斩》是以古代的日本作为游戏舞台的一款非锁定战斗MMORPG,玩家将与静御前、天照大神、弥勒、茨木童子等传说中的人物一起与敌人战斗。"
Project岚,3D,半写实,童忆游戏,,奇幻,即时,未确定,69,大型角色扮演,,《Project岚》是由童忆游戏工作室研发的PK网游。游戏采用无锁定3D画面效果，高硬派写实风格、高自由度无锁定战斗模式让玩家体验战斗的快感。
小岛OL,3D,Q版,More nori Soft,,奇幻,即时,未确定,21,动作角色扮演,,"《小岛OL》是款开放世界的沙盒游戏，基本玩法类似我的世界，玩家需要在荒野中寻找各种素材，用来创造装备、物品或是建筑。值得一提的是，这款游戏中的生态系统并不是只是简单的让生物重生，而是玩家的一举一动都会对整个环境拥有巨大的影响。例如，玩家如果杀死太多...          
        <div>
          《小岛OL》是款开放世界的沙盒游戏，基本玩法类似我的世界，玩家需要在荒野中寻找各种素材，用来创造装备、物品或是建筑。值得一提的是，这款游戏中的生态系统并不是只是简单的让生物重生，而是玩家的一举一动都会对整个环境拥有巨大的影响。例如，玩家如果杀死太多的兔子，那么捕食者，比如说狼或者其它的食肉动物便会被饿死。        </div>
      
      [查看详细]"
红月,2D,半写实,,,奇幻,即时,道具收费,90,大型角色扮演,,《红月》的游戏背景故事设计的非常吸引人，它是根据改编韩国名漫画家黄美娜action SF漫画《红月》，故事发生在一个虚构的世界，名为锡葛尼斯，在锡葛尼斯有一个相传已久的传说。
极速奔跑者,2D,Q版,DoubleDutch Games,tinyBuild(欧美),奇幻,即时,一次性付费,10,动作角色扮演,,这是一款跑酷游戏，在这款游戏中主要围绕着神奇四侠而展开，在这款游戏中玩家只需要进行控制，在这过程中会不断的奔跑，在这款游戏中会有各种不同的陷阱，玩家要十分的小心。这款游戏的操作还是蛮不错的，在这款游戏中玩家能否顺利通关呢？那就让我们拭目以待吧。
热血英豪,3D,Q版,Cyberstep,盛大游戏(大陆),奇幻,即时,道具收费,15,动作角色扮演,"游戏于2006年11月入库，
                  共1次测试",《热血英豪》是一款免费的3D动作格斗休闲网游。
夺宝传世,2D,半写实,盛大游戏,盛大游戏(大陆),玄幻,即时,道具收费,207,大型角色扮演,"游戏于2010年10月入库，
                  共2次测试","《夺宝传世》是盛大游戏2010年自主研发的2D新游。《夺宝传世》号称“爱打宝玩家首选”，是一款将打宝作为核心概念的大型多人在线网络游戏。游戏中有着超高的爆率以及各种打宝辅助系统，把玩家在游戏中夺宝，打宝的乐趣无限放大。此外，盛大表示：《夺宝传...          
        <div>
          《夺宝传世》是盛大游戏2010年自主研发的2D新游。《夺宝传世》号称&ldquo;爱打宝玩家首选&rdquo;，是一款将打宝作为核心概念的大型多人在线网络游戏。游戏中有着超高的爆率以及各种打宝辅助系统，把玩家在游戏中夺宝，打宝的乐趣无限放大。此外，盛大表示：《夺宝传世》力求做最平衡的2D网游，所有玩家打到的宝物可以兑换绑定元宝，绑定元宝可以购买所有商城道具。        </div>
      
      [查看详细]"
罗德斯岛战记OL,2D,半写实,L&K,L&K(韩国),魔幻,即时,未确定,43,大型角色扮演,,"《罗德斯岛战记OL》改编自水野良的《罗德岛战记：灰色魔女》，该小说曾被改编成为漫画、动画及单机游戏等多种形式。而如今推出网游版本，由韩国L&K公司与日本GameOn公司联合开发。游戏描述了一个欧洲神话般的奇幻故事。魔神战争结束后三十年，马莫皇帝贝鲁特率领...          
        <div>
          《罗德斯岛战记OL》改编自水野良的《罗德岛战记：灰色魔女》，该小说曾被改编成为漫画、动画及单机游戏等多种形式。而如今推出网游版本，由韩国L&amp;K公司与日本GameOn公司联合开发。游戏描述了一个欧洲神话般的奇幻故事。魔神战争结束后三十年，马莫皇帝贝鲁特率领暗黑骑士和魔兽大军，迅速攻陷卡诺王国，向神圣王国瓦利斯进军，罗德斯岛烽烟再起！        </div>
      
      [查看详细]"
龙之大陆,2D,Q版,网游数码,渡口网络(大陆),奇幻,回合,道具收费,703,大型角色扮演,"游戏于2011年06月入库，
                  共3次测试",《龙之大陆》是渡口网络运营的一款2DMMORPG网游。游戏以欧洲中世纪风格的奇幻世界为舞台，以剑与魔法的浪漫冒险为主线，串起众神之战的壮阔战争。玩家将在游戏中扮演一名初出茅庐的冒险者，谱写一曲属于自己的奇幻史诗。
勇者之心,2.5D,半写实,畅游,畅游(大陆),奇幻,即时,道具收费,490,大型角色扮演,"游戏于2012年11月入库，
                  共5次测试",《勇者之心》（曾用名：project s）是畅游旗下一款热血魔幻网游。游戏采用畅游自主研发的最新引擎技术，向玩家展现一个西方魔幻世界。游戏拥有守护神系统、双姿态成长路线、多线程副本活动以及PVP玩法，既强调个人荣誉追求的同时看重团队配合。
圣王,3D,半写实,完美世界,完美世界(大陆),玄幻,即时,未确定,1539,大型角色扮演,"游戏于2013年05月入库，
                  共4次测试",《圣王》是根据同名网络小说改编，由完美世界开发及运营的大型3D玄战MMORPG。《圣王》以玄幻战斗为游戏核心特色，采用独家Echo引擎，用高清的游戏画面，恢弘的玄幻世界场景，将很多玄幻世界中存在而现实世界中不可能接触到的东西融合在游戏中。
天黑请闭眼OL,3D,半Q版,联众,欢娱互动(大陆),奇幻,回合,道具收费,40,社交,"游戏于2007年07月入库，
                  共1次测试","　　《天黑请闭眼online》是全球首款以推理为主线的网络游戏，亦是联众公司推出的首款大型休闲网游。其创作灵感来源于时下火爆的泊来经典“杀人游戏”，并在互动性、趣味性、悬念性上做了一次大胆的创新。网络版的《天黑请闭眼》游戏避免了杀人游戏受时间...          
        <div>
          　　《天黑请闭眼online》是全球首款以推理为主线的网络游戏，亦是联众公司推出的首款大型休闲网游。其创作灵感来源于时下火爆的泊来经典&ldquo;杀人游戏&rdquo;，并在互动性、趣味性、悬念性上做了一次大胆的创新。网络版的《天黑请闭眼》游戏避免了杀人游戏受时间、地点、社交范围、现实身份等多重因素束缚的问题，在秉承杀人游戏经典的同时，极大地发挥了网络的优势，并结合多项独创系统，力图打造一场警匪杀人游戏的网络嘉年华！
　　首创的线索系统
　　《天黑请闭眼OL》非常注重玩家的&ldquo;现场体验感&rdquo;，并设置了独特而有趣的线索提示系统。在游戏过程中，玩家的任何举动都会被系统监测到，包括移动鼠标、使用键盘、使用道具以及投票等等，即便是长时间&ldquo;盯着&rdquo;某位玩家看，都将被系统自动记录下来成为大家甄别杀手的证据哦！
　　个性化的人物属性
　　《天黑请闭眼OL》中玩家们将分别扮演警察、平民、杀手三种职业进行游戏，并通过隐藏、逻辑分析以及辩才的充分发挥来帮助已方团队获取胜利。游戏中的每一个ID都将附有这三种职业的属性值，并且其属性级别将根据游戏中玩家的真实表现自动提升。因此，《天黑请闭眼OL》游戏的每一项参数都是玩家个性的真实展现！
　　实用的复盘系统
　　与&ldquo;杀人游戏&rdquo;中玩家往往毫无头绪地被迫出局有所不同，在《天黑请闭眼OL》中无论玩家被杀还是无辜被冤，都能通过游戏提供的复盘功能在结束后再现特殊身份玩家夜间的对话策略，重温那惊心动魄的一幕！
　　多样逼真的游戏场景
　　明朗清新的游戏画面，配上动听悠扬的音乐，无论是孤岛还是秘室，《天黑请闭眼OL》的每一个场景都把我们带到远离喧嚣的幻想世界。游戏的场景和配乐完美地烘托出神秘、紧张、刺激的气氛，让人不禁疑惑，杀手究竟是谁？
　　《天黑请比闭眼OL》带给我们的不只是普通的网络游戏，而是一场需要玩家身心投入，斗智斗勇的警匪游戏，也许在一个夏天的晚上，您会在这里体验到杀人游戏的精髓！        </div>
      
      [查看详细]"
宠物森林,3D,Q版,久游,久游(大陆),奇幻,即时,道具收费,26,大型角色扮演,"游戏于2007年12月入库，
                  共2次测试","8大 种族谁与争锋56个 副本、众多Boss 极限挑战8百58种 绚丽多彩的技能1千2百28种 宠物包罗万象千奇百怪3万1千2百72种 日新月异的宠物变化形态、道具16万1千5百19种 五花八门的天赋265万7千3百43个 精彩纷呈的任务6062万3千6百58种 装备千挑万选300000000宠物迷唯一...          
        <div>
          8大 种族谁与争锋56个 副本、众多Boss 极限挑战8百58种 绚丽多彩的技能1千2百28种 宠物包罗万象千奇百怪3万1千2百72种 日新月异的宠物变化形态、道具16万1千5百19种 五花八门的天赋265万7千3百43个 精彩纷呈的任务6062万3千6百58种 装备千挑万选300000000宠物迷唯一选择
　　第二代宠物网游《宠物森林》是由久游网历时3年自主研发的RPG宠物类精品网游，游戏凭借成熟的游戏引擎和久游网雄厚的自主研发实力，将使宠物多样化等游戏特色发挥到极致，被称其为史上宠物最多的第二代宠物类网络游戏。作为代表&ldquo;第二代&rdquo;宠物网游的《宠物森林》集史上热门宠物网游优势于一身，同时开拓出以可爱精致的游戏画面、万千史上经典宠物+新形态宠物的养成、精彩的合作冒险、酷炫的战斗技能、激烈的国战、模拟庄园经营等博大精深的游戏内涵和前所未有的特色，开创宠物主题网游新纪元，让玩家率先体验国产宠物网游的巅峰魅力！        </div>
      
      [查看详细]"
EQ Next,3D,半写实,SOE,SOE(美国),魔幻,即时,未确定,1162,大型角色扮演,,"《EQ Next》（无尽的任务Next）将改变游戏所有的设计理念，摒弃当前网游一贯采用的杀怪、做任务得经验的游戏机制，采用Forge Light引擎(行星边际2引擎)和免费模式运营，采用类似《我的世界》的沙盒模式，打造一款未来最大“沙盒模式”MMO网游。《EQ Next》...          
        <div>
          《EQ Next》（无尽的任务Next）将改变游戏所有的设计理念，摒弃当前网游一贯采用的杀怪、做任务得经验的游戏机制，采用Forge Light引擎(行星边际2引擎)和免费模式运营，采用类似《我的世界》的沙盒模式，打造一款未来最大&ldquo;沙盒模式&rdquo;MMO网游。《EQ Next》中所有的物体都是可以被破坏，比如摧毁敌人的脚下的土地，制造雪崩淹没对手。玩家可以充分利用身边每一个道具，不再是单纯的模型摆设。        </div>
      
      [查看详细]"
神仙传,3D,Q版,火雨网络,第九城市(大陆),玄幻,即时,道具收费,1006,大型角色扮演,"游戏于2010年03月入库，
                  共6次测试","《神仙传》以华夏文明五千年的历史神话长卷为蓝图，构造出一个史诗般庞大唯美的炎黄世界，在这个浸透着浓郁中国古风的全新世界中，玩家将与女娲、精卫、钟馗、吕洞宾众多神话传奇英雄一同踏上冒险之旅，共续中土奇幻神话。玩家可以接触到中国神话传说中的各种神魔鬼...          
        <div>
          《神仙传》以华夏文明五千年的历史神话长卷为蓝图，构造出一个史诗般庞大唯美的炎黄世界，在这个浸透着浓郁中国古风的全新世界中，玩家将与女娲、精卫、钟馗、吕洞宾众多神话传奇英雄一同踏上冒险之旅，共续中土奇幻神话。玩家可以接触到中国神话传说中的各种神魔鬼怪，不同时期的神话，奇闻轶事。        </div>
      
      [查看详细]"
星际OL,3D,半写实,SONY,上海坤迈(大陆),科幻,即时,道具收费,16,第三人称射击,,《星际OL》是有索尼开发上海坤迈运营的3D射击网游。游戏强调的是玩家之间的真实对抗，玩家还有机会驾驶各种机甲、战车和飞行器穿梭于各个大洲大陆。
剑舞,2D,半写实,深圳幻游,中青宝(大陆),武侠,即时,道具收费,673,大型角色扮演,"游戏于2011年09月入库，
                  共4次测试",《剑舞》是由幻游科技研发、中青宝代理运营的一款以“非横版连招格斗”为特色的2D武侠MMORPG。游戏注重PVP和PVE的战斗体验感，拥有浮空、击倒、格挡、击退、补杀等多种操作型战斗元素，同时加入了怒气魂爆系统。
梦幻西游卡牌,2D,Q版,,网易(大陆),现代,回合,道具收费,36,集换卡牌,"游戏于2008年05月入库，
                  共1次测试","　　网易游戏杭州工作室为广大玩家热忱奉献2008年三月里的第一道灿烂春光——《梦幻西游之卡牌对决》。《卡牌对决》是为《梦幻西游》量身打造的一款休闲卡片游戏，也是网易推出的第一款卡牌游戏。
　　如果你一直钟爱《梦幻西游》，那么你一定要来尝试《...          
        <div>
          　　网易游戏杭州工作室为广大玩家热忱奉献2008年三月里的第一道灿烂春光&mdash;&mdash;《梦幻西游之卡牌对决》。《卡牌对决》是为《梦幻西游》量身打造的一款休闲卡片游戏，也是网易推出的第一款卡牌游戏。
　　如果你一直钟爱《梦幻西游》，那么你一定要来尝试《卡牌对决》，因为《梦幻西游》中的妖魔鬼怪将重披战袍听你号令。如果你曾经迷恋《大富翁》，那么你一定要来尝试《卡牌对决》，因为占地、卡片将一脉相传。如果你还在社会中艰难打拼，那么你一定要来尝试《卡牌对决》，因为炒股、炒地、发财、破产在游戏中都如过眼云烟；如果你从未接触过卡牌游戏，那么你一定要来尝试《卡牌对决》，因为卡牌收集、组合就足以让你沉迷忘返。
　　你还等什么呢？没有繁琐复杂的操作，没有无尽的打怪和练级，邀上两三个朋友，捧上一杯奶茶，花上二三十分钟轻轻松松来到《卡牌对决》的游戏世界吧。        </div>
      
      [查看详细]"
绿色征途,2D,半写实,巨人网络,巨人网络(大陆),武侠,即时,道具收费,371,大型角色扮演,"游戏于2009年08月入库，
                  共5次测试","《绿色征途》是由巨人网络开发运营的一款国产2DMMORPG。游戏沿袭了《征途》玩法，并加入了全新的内容和玩法。采用了全新的PK模式和系统。日常消耗靠游戏产出，掉落物品不绑定，装备强化道具可拆卸循环使用，无功勋符和宝箱，无经验促销任务，装备所需材料靠打怪或任...          
        <div>
          《绿色征途》是由巨人网络开发运营的一款国产2DMMORPG。游戏沿袭了《征途》玩法，并加入了全新的内容和玩法。采用了全新的PK模式和系统。日常消耗靠游戏产出，掉落物品不绑定，装备强化道具可拆卸循环使用，无功勋符和宝箱，无经验促销任务，装备所需材料靠打怪或任务获取，白装合绿装&hellip;&hellip;游戏好玩更实惠。        </div>
      
      [查看详细]"
中世纪战争,3D,写实,Torn Banner Studios,,奇幻,即时,未确定,36,第一人称射击,,《骑士：中世纪战争》是一款由Epic的UDK工具开发的第一人称的中世纪在线砍杀游戏（类似CS这样的多人竞技游戏，只能在线对战，不能单机），玩家将进入虚拟的中世纪战场。为了对Agatha的领土取得实质上的控制权，Agathian骑士与新成立的Mason骑士团展开了激烈的战斗。
猎灵,3D,半写实,空中网,空中网(大陆),奇幻,即时,道具收费,286,大型角色扮演,"游戏于2010年07月入库，
                  共6次测试",《猎灵OL》是由六月游戏代理的一款后现代奇幻网游，游戏再现三界融合、磅礴宏大的奇幻世界，被阴谋扭曲的众神面孔也将在神、魔、妖、人四族之间的抗争中得以展现。
太空堡垒OL,3D,写实,BigPoint,,科幻,即时,道具收费,55,第三人称射击,,《太空堡垒OL》是由NBC旗下的Bigpoint制作组根据经典系列科幻电影《太空堡垒卡拉狄加》（Battlestar Galactica，又名《银河战星》）所改编的科幻太空题材网游。
F2,3D,写实,Gala Lab,,奇幻,即时,道具收费,52,大型角色扮演,,《F2》作为《飞飞》的续作，具备决斗、野外地图PVP，空中战斗，攻城战等多种PVP系统，是款强化战斗乐趣的MMORPG。
超能军团,3D,半Q版,Hydrant Games,,奇幻,即时,未确定,4,MOBA,,《超能军团》前提供了战士、游侠、法师及刺客四种职业；包含有有死亡竞技、团队死亡竞技、据点战、生物抢夺战、团队殊死战等5种游戏模式。
大唐豪侠外传,2.5D,写实,网易,网易(大陆),武侠,即时,道具收费,264,大型角色扮演,"游戏于2009年06月入库，
                  共3次测试",《大唐豪侠外传》继承《大唐豪侠》的武侠文化与古风画面，并对技能、任务、装备等方面进行了深入的挖掘，以期展现给玩家全景式的初唐面貌和神奇的武侠世界。
撒农大陆,3D,半写实,天趣网络,天趣网络(大陆),奇幻,即时,道具收费,224,动作角色扮演,"游戏于2010年08月入库，
                  共5次测试",《撒农大陆》（曾用名：《复仇OL》）是由天趣网络技术有限公司推出的大型战争、3D动作竞技类网络游戏。游戏的核心玩法是围绕着一个核心展开——资源竞争。
三国群英传2OL,3D,写实,宇峻奥汀,第九城市(大陆),历史,即时,道具收费,217,大型角色扮演,"游戏于2009年06月入库，
                  共4次测试",《三国群英传2OL》是由宇峻奥丁开发的一款三国题材策略网游，由于游戏改编自己经典单机游戏《三国群英传》系列而受到许多玩家的关注。
火力风暴,3D,写实,渡口网络,渡口网络(大陆),奇幻,即时,道具收费,223,第一人称射击,,"火力风暴（FIRESTORM）是一款以现代战争为题材的TPS枪战网游，充分引入了MMO元素，不再是传统常见的FPS游戏概念，FIRESTORM不仅仅追求对抗乐趣，而且在内容中融入了个人成就追求、装备收集、角色养成和技能学习等概念的MMOTPS枪战网游。游戏内天梯排名设计，丰富的成...          
        <div>
          火力风暴（FIRESTORM）是一款以现代战争为题材的TPS枪战网游，充分引入了MMO元素，不再是传统常见的FPS游戏概念，FIRESTORM不仅仅追求对抗乐趣，而且在内容中融入了个人成就追求、装备收集、角色养成和技能学习等概念的MMOTPS枪战网游。游戏内天梯排名设计，丰富的成就设计，让不同的玩家在游戏内都能找到不同的追求点。无论是喜欢技术对抗，还是喜欢组队完成任务；无论是喜欢休闲娱乐，还是喜欢紧张刺激，在火力风暴内都能找到喜欢的玩法，火力风暴结合MMO特点，使玩家在自由对战的同时，还能享受无尽升级，装备收集等乐趣。火力风暴是全新的玩法与最新的次世代画面完美结合的新概念网游。        </div>
      
      [查看详细]"
武林奇侠传,2D,半写实,重庆创游,聚购网络(大陆),武侠,即时,道具收费,207,大型角色扮演,"游戏于2012年09月入库，
                  共3次测试",《武林奇侠传OL》是一款以南宋早期为历史背景的武侠网游，展现八大门、九大派共武，天道神武两大势力重现江湖。
格子RPG,2.5D,Q版,青瓷数码,吉比特(大陆),魔幻,回合,道具收费,3747,大型角色扮演,"游戏于2012年11月入库，
                  共7次测试",《格子RPG-为暗黑而战》是一款回合制角色扮演游戏。它打破了传统的英雄战魔王、勇者斗恶龙式的游戏设定，逆转整个Diablo世界观，玩家不再是扮演正义的使者，而是个性鲜明的魔族，与迪亚波罗、巴尔、墨菲斯托等诸多熟悉的魔王一同对抗人类与天使的入侵。
生肖传说,2D,Q版,鸿利数码,金酷游戏(大陆),玄幻,回合,道具收费,80,大型角色扮演,"游戏于2007年06月入库，
                  共4次测试","　　金酷自主研发的Q版回合制网游《生肖传说》即将在年内与国内玩家见面。这款取材自中国古代属相十二生肖的网游中充满了大量的中国元素，洋溢着数千年的古风古韵，画面却又不失生动可爱。其中更包含着金酷人无数的创意理念，从全新成语收集系统到拥有类似于佣兵等级...          
        <div>
          　　金酷自主研发的Q版回合制网游《生肖传说》即将在年内与国内玩家见面。这款取材自中国古代属相十二生肖的网游中充满了大量的中国元素，洋溢着数千年的古风古韵，画面却又不失生动可爱。其中更包含着金酷人无数的创意理念，从全新成语收集系统到拥有类似于佣兵等级制任务体系，强力的成长武器和全服务器排名系统，或者说挑战NPC过关系统，都是在国内独一无二的设定，不能不说是年内很值得关注的一款国产Q版游戏。        </div>
      
      [查看详细]"
